file_name	seed	formula_x	formula_y
2018-11-05-20-41_seed_8239.png	8239	NA	NA
2018-11-05-20-41_seed_5638.png	5638	NA	NA
2018-11-05-20-41_seed_2320.png	2320	NA	NA
2018-11-05-20-41_seed_8282.png	8282	NA	NA
2018-11-05-20-41_seed_5711.png	5711	NA	NA
2018-11-05-20-41_seed_1378.png	1378	NA	NA
2018-11-05-20-41_seed_8705.png	8705	NA	NA
2018-11-05-20-41_seed_6360.png	6360	NA	NA
2018-11-05-20-42_seed_1877.png	1877	NA	NA
2018-11-05-20-42_seed_7615.png	7615	NA	NA
2018-11-05-20-42_seed_6230.png	6230	NA	NA
2018-11-05-20-42_seed_7170.png	7170	NA	NA
2018-11-05-20-42_seed_8818.png	8818	NA	NA
2018-11-05-20-42_seed_8532.png	8532	NA	NA
2018-11-05-20-42_seed_1084.png	1084	NA	NA
2018-11-05-20-42_seed_333.png	333	NA	NA
2018-11-05-20-42_seed_6301.png	6301	NA	NA
2018-11-05-20-42_seed_697.png	697	NA	NA
2018-11-05-20-43_seed_8997.png	8997	NA	NA
2018-11-05-20-43_seed_151.png	151	NA	NA
2018-11-05-20-43_seed_8351.png	8351	NA	NA
2018-11-05-20-43_seed_1506.png	1506	NA	NA
2018-11-05-20-43_seed_7426.png	7426	NA	NA
2018-11-05-20-43_seed_9142.png	9142	NA	NA
2018-11-05-20-43_seed_156.png	156	NA	NA
2018-11-05-20-43_seed_4824.png	4824	NA	NA
2018-11-05-20-43_seed_9678.png	9678	NA	NA
2018-11-05-20-43_seed_9117.png	9117	NA	NA
2018-11-05-20-45_seed_5446.png	5446	NA	NA
2018-11-05-20-45_seed_374.png	374	NA	NA
2018-11-05-20-45_seed_4807.png	4807	NA	NA
2018-11-05-20-45_seed_9251.png	9251	NA	NA
2018-11-05-20-45_seed_6999.png	6999	NA	NA
2018-11-05-20-45_seed_7112.png	7112	NA	NA
2018-11-05-20-45_seed_1400.png	1400	NA	NA
2018-11-05-20-45_seed_6316.png	6316	NA	NA
2018-11-05-20-45_seed_1996.png	1996	NA	NA
2018-11-05-20-45_seed_2952.png	2952	NA	NA
2018-11-05-20-46_seed_9700.png	9700	NA	NA
2018-11-05-20-46_seed_6836.png	6836	NA	NA
2018-11-05-20-46_seed_6686.png	6686	NA	NA
2018-11-05-20-46_seed_3630.png	3630	NA	NA
2018-11-05-20-46_seed_3347.png	3347	NA	NA
2018-11-05-20-46_seed_6276.png	6276	NA	NA
2018-11-05-20-46_seed_2068.png	2068	NA	NA
2018-11-05-20-46_seed_4358.png	4358	NA	NA
2018-11-05-20-46_seed_4531.png	4531	NA	NA
2018-11-05-20-46_seed_4593.png	4593	NA	NA
2018-11-05-20-58_seed_8553.png	8553	NA	NA
2018-11-05-20-58_seed_807.png	807	NA	NA
2018-12-01-16-53_seed_675.png	675	NA	NA
2018-12-01-17-48_seed_6196.png	6196	NA	NA
2018-12-01-17-49_seed_5181.png	5181	NA	NA
2018-12-01-17-50_seed_2997.png	2997	NA	NA
2018-12-01-17-50_seed_3449.png	3449	NA	NA
2018-12-01-17-50_seed_2542.png	2542	NA	NA
2018-12-01-17-51_seed_1031.png	1031	NA	NA
2018-12-01-17-51_seed_7924.png	7924	NA	NA
2018-12-01-17-52_seed_3607.png	3607	NA	NA
2018-12-01-17-53_seed_2065.png	2065	NA	NA
2018-12-01-17-54_seed_7910.png	7910	NA	NA
2018-12-01-17-54_seed_3555.png	3555	NA	NA
2018-12-01-17-57_seed_7302.png	7302	NA	NA
2018-12-01-18-02_seed_6833.png	6833	NA	NA
2018-12-01-18-04_seed_1846.png	1846	NA	NA
2018-12-01-18-05_seed_1514.png	1514	NA	NA
2018-12-01-18-08_seed_7171.png	7171	NA	NA
2018-12-01-18-08_seed_6364.png	6364	NA	NA
2018-12-01-18-09_seed_1076.png	1076	NA	NA
2018-12-01-18-09_seed_7981.png	7981	NA	NA
2018-12-01-18-14_seed_3740.png	3740	NA	NA
2018-12-01-18-15_seed_3344.png	3344	NA	NA
2018-12-01-21-59_seed_742.png	742	NA	NA
2018-12-01-22-58_seed_2109.png	2109	NA	NA
2018-12-01-23-00_seed_4744.png	4744	NA	NA
